Label,Id
zeros,3789
unresolved issues,3790
pyzor server,3791
future feature,3792
moar information required (said in robot voice),174
area/calico-node,3793
listen,175
projectaddresssanitizer,176
release critical,177
platform: sensor.apcupsd,25
needs input,179
stateless,6561
milestone-1.0.0,180
talk-to: @kevintab95,181
zreleased - 2015.8.11,3794
zreleased - 2015.8.12,3795
build-and-test,182
area: webroot,637
work: design,183
recordtool,184
performance improvement,185
platform: camera.generic,3798
storage media,4201
pootle_fs,186
component: keyboard_remote,187
area: error handling,188
jessie,6252
name resolution,3800
difficulty:moderate,189
might do,190
approximations,191
priority - medium,3802
component: alexa,192
not-urgent,193
priority.high,3803
tag: documentation,3804
cartopy experience needed: low,3805
plugin: avbin,194
plugin enhancement,3807
integrations: flask,3808
component: monitoring,195
res/wontfix,3809
noncompatible,196
missing feature,197
language / chinese,198
status: on hold,199
needs user feedback,3811
closed: won't fix,200
tag.plugins,3050
parsers,201
c:inventory/group,3815
needs: improvement,3816
story point,3817
reengineering,202
httputil,3818
nmi,203
status: needs information,5510
platform-android,204
re-check,205
api: bigquery,206
chapterrequest,3820
02 type: regression,6439
reviewed-waiting-updates,207
apply,4823
component: digital_ocean,4879
component:comms,208
plex issue,4792
stupid behavior,210
textdocument,4206
topic-weights,211
three.js,212
platform: tts.google,213
contrib: good first bug,214
area/dataset-collections,5393
kind/proposal,215
ready for copy-edit,3822
simplify,217
needs reproducing,5990
area/visualizations,3823
qgis-integration,6567
masher,3824
pending-validation,218
mustfix,219
platform: camera.doorbird,220
needsrebase,6675
st:ready-for-review,221
platform: sensor.neurio_energy,3826
observation,3827
affects/2.1,5991
kind/refactoring,1692
close with response,3828
ready for review and merge!,222
platform: switch.rflink,223
cherrypick_candidate,224
email (mailman),5444
v1.8.2,4795
consumer,3829
platform: sensor.rflink,225
advisory,226
reactor,227
last-before-release,228
customer-feedback-wanted,6436
area/docs/content,229
component: publishing,230
moderate difficulty,3831
third-party integration,231
topic - configuration,3832
dev: backend,232
status: in review,233
cosmosdb,5995
new-contributor-friendly,3834
marshalling,6571
paginator,3835
component:cloudformation,2868
tag.deadlocks,3836
patchwelcome,3656
cross-platform,3837
area/gies,235
eight-compat,3838
status:wont fix,3839
area: docs,236
.io.sac,3840
api: storage,237
status: superseded,3841
feature: planned,238
invalid-send-questions-to-discussion-group,3843
code-quality-cleanup,3844
status:openkomodo-related,239
new-syntax,240
saas.py,241
skill: css,3845
needs fixing,3846
r=sleevi,242
type:meta,243
