source,target
2,4770
5,582
6,6463
6,10096
6,12346
6,13302
6,17565
6,17565
6,17565
6,14876
6,14876
6,14876
6,3799
6,3799
6,14538
6,14538
6,7855
6,4332
6,4332
6,4332
6,13364
6,13364
6,7793
6,17955
6,17955
6,17955
6,17955
6,17955
6,17955
6,8768
6,4019
6,8678
6,8678
6,8678
6,8678
6,8678
6,8678
6,8678
6,8678
6,8678
6,12128
6,12128
6,8981
6,8981
6,2530
6,13458
6,13458
6,8457
6,8457
6,8457
6,8457
6,8457
6,8457
6,8457
6,8457
6,14496
6,791
6,791
6,2826
6,11943
6,13236
6,15512
6,11052
6,4692
6,4692
7,8009
7,8009
7,15140
7,15140
7,7387
7,2233
7,17799
7,14992
7,14992
7,10802
7,948
7,948
7,948
7,6576
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
7,797
12,8633
15,10099
15,10099
15,10099
15,4454
15,4454
15,4454
15,4454
18,6779
21,5299
21,5299
22,5519
23,2462
26,15107
26,564
26,14962
26,347
26,347
26,10834
26,15797
26,8633
26,8633
26,8633
26,7837
26,12823
26,12320
26,290
26,14106
26,14106
26,14620
26,9448
26,9448
26,4912
26,12907
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,875
26,12947
26,12947
26,12947
26,12947
26,12947
26,9046
26,9046
26,9046
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,4785
26,18425
26,18425
26,18425
26,18425
26,18425
26,18425
26,14707
26,16605
26,9399
26,4392
26,4392
26,12856
26,12856
26,12856
26,12856
26,12856
26,12856
26,12856
26,12856
26,13814
26,13445
26,13900
26,791
26,791
26,791
26,13613
26,13613
26,2844
26,2844
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
26,14887
27,4336
29,7584
30,8823
30,8424
31,361
31,361
32,4845
35,5291
37,16170
38,5753
38,4988
38,4988
38,4988
38,4988
39,8625
39,11698
39,11052
39,18016
39,10926
39,10926
39,10926
39,10926
39,5882
39,5882
39,7248
39,11782
43,6999
49,8767
49,16542
49,2964
49,2964
49,2964
49,2964
49,2964
49,2964
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,6967
50,351
52,791
55,15018
55,8457
55,13236
55,1851
59,5299
81,4336
81,5201
83,16928
83,8310
83,1772
83,7387
83,7387
83,7387
83,5654
83,5654
83,5654
83,5654
88,17999
88,11692
89,7542
89,3244
95,8565
98,18098
98,18098
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
98,12175
100,5735
100,5735
100,5735
100,16353
100,6990
100,6990
100,6990
100,6990
100,6990
100,6990
100,6990
100,791
100,8428
100,1817
100,2959
102,16123
102,8983
102,8983
102,796
102,12868
102,10754
102,12237
102,12237
105,7267
105,16783
105,16562
105,9918
105,717
105,14163
105,781
105,12586
105,13416
105,4715
105,4715
105,17854
105,17854
105,14538
105,17715
105,17715
105,17715
105,17715
105,17715
105,1330
105,8134
105,10048
105,14170
105,14839
105,4723
105,18358
105,18358
105,3742
105,3742
105,13163
105,13163
105,9905
105,1348
105,1348
105,3610
105,3610
105,12994
105,11894
105,6722
105,254
105,5001
105,18098
105,4800
105,2241
105,17999
105,17999
105,17999
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
105,16869
