Source,Target,Weight
67,5975,2
67,5706,3
67,3674,4
67,6047,18
67,3350,2
67,6535,2
67,5054,2
67,3452,1
68,696,1
68,5302,1
68,8239,1
69,603,1
69,3331,1
70,6913,49
70,4795,1
70,4650,2
70,6069,26
70,5798,135
70,1920,4
70,91,14
70,3263,13
70,3228,14
70,3169,11
70,2903,7
70,5987,1
70,5349,5
70,1447,177
70,3162,1
70,4864,1
70,6454,1
70,5753,2
70,4990,2
70,394,4
70,5596,6
70,2933,9
70,8572,6
70,5926,2
70,7003,44
70,944,77
70,7416,2
70,6468,13
70,1258,1
70,2893,4
70,8574,2
70,3957,4
70,1143,60
70,306,15
70,8443,3
71,2265,6
71,4810,1
71,3350,1
71,7843,2
71,7934,1
71,2920,1
71,5212,3
71,601,1
72,6502,2
72,1622,3
72,6353,8
72,6497,4
73,1684,1
73,751,1
73,738,1
75,3678,1
75,4802,1
75,4959,1
76,6497,1
78,6502,1
78,1622,1
78,6497,1
79,8486,1
79,106,2
79,7842,2
80,1653,1
80,2844,4
80,8168,3
80,3331,7
80,4108,1
80,6497,1
81,4879,1
81,4054,14
81,352,10
81,2848,2
81,7759,1
81,1824,1
81,7397,1
81,1599,2
81,3331,26
81,1840,1
81,5125,3
81,6497,7
81,7584,3
82,3331,2
83,354,1
83,6497,3
83,1599,1
83,3331,1
83,3678,3
83,3369,1
83,5344,2
85,1592,1
85,4672,1
85,8115,1
85,819,2
85,3331,2
85,6497,1
86,6899,1
86,102,1
86,7400,1
87,756,3
87,6281,1
87,5339,4
87,1435,1
87,3331,1
87,3054,2
87,5848,2
87,2244,5
87,4133,4
87,7819,1
87,7028,2
87,5722,5
87,5795,10
87,6992,3
87,108,7
87,4972,1
87,5027,2
87,8462,1
87,8497,4
87,2853,2
87,7448,9
87,8085,2
87,4780,2
87,4781,4
87,4782,1
87,6938,6
87,1691,4
87,8717,1
87,3032,1
87,2548,1
87,6426,3
87,1017,6
87,3284,3
87,4490,1
87,1813,1
87,1125,8
87,2813,1
87,5439,1
87,8330,1
88,7063,1
89,6993,2
89,1798,1
89,3331,10
89,4236,1
89,6497,8
89,3895,1
90,2186,1
90,3952,1
90,3331,4
90,3785,4
90,6190,2
90,6730,1
91,7003,10
91,944,16
91,6913,4
91,4760,3
91,2903,3
91,6468,1
91,4650,2
91,6936,1
91,6069,14
91,394,2
91,5798,15
91,5349,1
91,1447,30
91,5596,6
91,8572,1
91,3263,2
91,70,2
91,1143,32
91,3169,1
91,306,2
91,8443,1
92,4108,1
92,4221,1
92,441,1
93,1433,2
93,5648,1
93,3331,10
93,4486,1
93,4979,2
93,1931,1
93,102,14
93,2721,1
93,6497,17
93,8743,1
93,106,1
93,2723,2
93,5125,2
93,3144,5
93,1798,3
93,1212,1
93,2481,1
93,3496,1
93,3616,1
93,5668,5
93,3112,2
93,3282,1
93,712,4
93,3618,2
94,7829,32
94,1740,6
94,7993,25
94,7994,7
94,7914,2
94,4565,1
94,6289,8
94,4964,9
94,2898,3
94,916,1
94,3286,3
94,8345,1
94,1136,4
94,5512,1
94,5938,1
94,263,1
94,2831,1
95,2845,1
95,3331,2
96,5302,1
96,4271,1
97,6357,1
97,1592,2
97,6497,3
97,5113,4
97,584,3
97,3548,1
97,6055,1
97,3710,2
97,1109,1
97,3952,2
97,7662,9
97,3331,1
97,921,1
97,1111,1
97,8647,2
97,2452,5
97,665,1
97,1992,2
97,8101,18
97,3626,1
98,3193,1
98,4664,5
98,4161,1
98,781,1
98,638,3
100,6105,1
100,5149,1
101,3241,1
101,2822,1
101,7994,3
101,7991,1
101,3994,1
101,5092,2
101,6497,2
102,6538,4
102,7617,32
102,2737,1
102,6626,1
102,3293,4
102,538,1
102,540,4
102,5449,6
102,5981,3
102,998,1
102,7622,1
102,4392,29
102,915,3
102,7090,8
102,7628,1
102,5348,43
102,4397,4
102,1097,1
102,4475,69
102,4398,1
102,559,2
102,3312,3
102,7642,2
102,7994,82
102,6561,3
102,2766,11
102,5884,3
102,5797,8
102,5464,1
102,2770,1
102,8278,6
102,3387,2
102,5470,10
102,7658,20
102,3882,59
102,4918,1
102,1118,3
102,4843,6
102,7121,2
102,7662,3
102,3331,312
102,5472,1
102,578,4
102,4425,2
102,2243,2
102,8225,2
102,5475,11
102,2245,1
102,2246,164
102,6021,10
102,7129,1
102,5476,16
102,6579,3
102,6024,1
102,1126,2
102,5889,50
102,4431,2
102,1130,1
102,2253,12
102,6588,3
102,4437,16
102,50,1
102,3352,2
102,2069,1
102,8248,1
102,5492,1
102,2272,21
102,4931,15
102,1695,4
102,453,8
102,1698,1
102,7144,26
102,6596,12
102,2578,18
102,5501,21
102,6600,6
102,2267,3
102,7689,1
102,7690,1
102,4762,10
102,603,4
102,3401,1
102,6812,1
102,8257,8
102,3919,1
102,8261,42
102,3367,2
102,3920,26
102,5512,27
102,3369,1
102,7160,2
102,6614,52
102,836,6
102,6053,8
102,7702,8
102,5580,1
102,2283,4
102,8267,31
102,4956,38
102,1580,42
102,7705,1
102,8298,1
102,1729,1
102,7171,65
102,7711,3
102,4462,28
102,4464,20
102,1176,5
102,1178,1
102,86,1
102,7716,1
102,8681,5
102,7718,1
102,5531,5
102,6632,1
102,4473,1
102,5538,3
102,5451,1
102,3942,16
102,3390,11
102,8593,1
102,6640,4
102,634,2
102,7096,4
102,3947,2
102,8253,9
102,1751,3
102,7725,1
102,7498,1
102,8297,3
102,641,28
102,4814,3
102,1756,4
102,3952,1
102,8288,3
102,2838,1
102,4160,9
102,3403,1
102,4488,2
102,750,1
102,645,2
102,648,5
102,2320,1
102,2844,103
102,5365,11
102,103,2
102,6660,4
102,106,130
102,652,2
102,5900,8
102,6664,1
102,108,1
102,1433,19
102,4987,19
102,369,10
102,1560,1
102,3965,2
102,665,11
102,2858,3
102,8426,5
102,4507,2
102,5005,2
102,3421,152
102,3423,2
102,1221,2
102,7213,3
102,123,2
102,6116,7
102,4223,10
102,6687,8
102,682,1
102,7221,18
102,3429,1
102,128,1
102,6914,1
102,6659,1
102,7227,1
102,2874,1
102,6693,10
102,692,2
102,693,2
102,8339,1
102,7233,165
102,1232,1
102,1794,1
102,5026,13
102,1795,1
102,8343,3
102,8346,4
102,1236,3
102,699,9
102,1797,15
102,1798,39
102,4537,1
102,3991,3
102,143,15
102,2356,6
102,702,1
102,3449,2
102,1086,9
102,2954,1
102,7241,3
102,2889,8
102,707,6
102,7242,3
102,2361,14
102,5041,6
102,972,23
102,6452,58
102,2897,1
102,2367,1
102,4743,1
102,1821,1
102,5608,8
102,5609,11
102,2906,13
102,6958,1
102,2908,1
