node_name,out_d,in_d
rosdistro,9081,58
ansible,3284,2753
ansible-modules-core,1818,2047
cached-property,1613,3
aws-amicleaner,1271,0
staged-recipes,1214,219
cookiecutter-pypackage,1146,8
easybuild-easyconfigs,1055,272
addons-server,1024,23
commcare-hq,952,2
home-assistant,940,64
edx-platform,936,214
rocket-league-replays,870,0
compose,867,189
astropy,845,275
gratipay.com,831,48
salt,801,114
ipython,798,619
conda,796,525
cookiecutter-djangopackage,784,1
