130,3
137,2
136,1
135,1
165,1
139,1
41,6
24,48
25,40
26,38
27,38
20,63
21,46
22,47
23,29
28,26
29,21
94,3
4,11573
8,827
96,14
262,1
123,2
126,1
127,1
128,4
59,1
58,1
55,5
54,6
57,7
56,8
51,4
50,6
53,1
52,6
191,1
115,2
114,3
88,2
116,7
111,6
113,1
277,1
82,2
83,1
81,4
119,1
87,1
84,4
85,2
3,30868
7,1405
308,1
300,1
109,4
102,3
103,2
100,10
101,2
106,4
107,2
105,4
39,7
38,5
33,13
32,27
31,11
30,34
37,15
36,7
35,20
34,12
336,2
60,4
61,4
62,6
63,2
64,8
65,6
67,1
68,1
69,3
170,1
183,1
2,111150
186,1
6,2282
98,5
168,1
90,1
92,7
95,6
161,2
162,1
220,1
11,264
10,430
13,123
12,190
15,85
14,116
17,65
16,80
19,42
18,78
117,2
157,1
158,3
278,2
237,1
48,6
49,5
46,5
86,1
44,3
45,4
42,4
43,5
40,12
118,1
1,476377
5,4960
9,517
147,1
144,2
145,1
207,1
76,1
75,4
74,3
71,2
70,4
79,3
121,1
47,3
